UNITID,INSTNM,CITY,STABBR,INSTURL,SATVRMID,SATMTMID,SATWRMID
100654,Alabama A & M University,Normal,AL,www.aamu.edu/,425,420,414
100663,University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,560,575,NULL
100690,Amridge University,Montgomery,AL,www.amridgeuniversity.edu,NULL,NULL,NULL
100706,University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,590,610,NULL
100724,Alabama State University,Montgomery,AL,www.alasu.edu,415,410,NULL
100751,The University of Alabama,Tuscaloosa,AL,www.ua.edu/,550,555,540
100760,Central Alabama Community College,Alexander City,AL,www.cacc.edu,NULL,NULL,NULL
100812,Athens State University,Athens,AL,www.athens.edu,NULL,NULL,NULL
100830,Auburn University at Montgomery,Montgomery,AL,www.aum.edu,465,470,NULL
100858,Auburn University,Auburn,AL,www.auburn.edu,575,585,570
100937,Birmingham Southern College,Birmingham,AL,www.bsc.edu/,555,530,NULL
101028,Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,NULL,NULL,NULL
101073,Concordia College Alabama,Selma,AL,www.ccal.edu/,NULL,NULL,NULL
101116,South University-Montgomery,Montgomery,AL,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",NULL,NULL,NULL
101143,Enterprise State Community College,Enterprise,AL,www.escc.edu,NULL,NULL,NULL
101161,Coastal Alabama Community College,Bay Minette,AL,www.coastalalabama.edu,NULL,NULL,NULL
101189,Faulkner University,Montgomery,AL,www.faulkner.edu,500,500,470
101240,Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,NULL,NULL,NULL
101277,New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,NULL,NULL,NULL
101286,George C Wallace Community College-Dothan,Dothan,AL,www.wallace.edu,NULL,NULL,NULL
101295,George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,NULL,NULL,NULL
101301,George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,NULL,NULL,NULL
101365,Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/,NULL,NULL,NULL
101435,Huntingdon College,Montgomery,AL,www.huntingdon.edu,473,475,NULL
101453,Heritage Christian University,Florence,AL,www.hcu.edu,NULL,NULL,430
101462,J. F. Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,NULL,NULL,NULL
101471,J F Ingram State Technical College,Deatsville,AL,www.istc.edu,NULL,NULL,NULL
101480,Jacksonville State University,Jacksonville,AL,www.jsu.edu/,500,495,NULL
101499,Jefferson Davis Community College,Brewton,AL,www.coastalalabama.edu,NULL,NULL,NULL
101505,Jefferson State Community College,Birmingham,AL,www.jeffersonstate.edu/,NULL,NULL,NULL
101514,John C Calhoun State Community College,Tanner,AL,calhoun.edu/,NULL,NULL,NULL
101541,Judson College,Marion,AL,www.judson.edu,581,531,NULL
101569,Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,NULL,NULL,NULL
101587,University of West Alabama,Livingston,AL,www.uwa.edu,480,460,475
101602,Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,NULL,NULL,NULL
101648,Marion Military Institute,Marion,AL,www.marionmilitary.edu,540,555,NULL
101675,Miles College,Fairfield,AL,www.miles.edu,NULL,NULL,NULL
101693,University of Mobile,Mobile,AL,www.umobile.edu,485,500,NULL
101709,University of Montevallo,Montevallo,AL,www.montevallo.edu,530,520,528
101736,Northwest-Shoals Community College,Muscle Shoals,AL,https://www.nwscc.edu,NULL,NULL,NULL
101879,University of North Alabama,Florence,AL,www.una.edu,475,483,NULL
101897,Northeast Alabama Community College,Rainsville,AL,https://www.nacc.edu,NULL,NULL,NULL
101912,Oakwood University,Huntsville,AL,www.oakwood.edu,455,425,NULL
101949,Alabama Southern Community College,Monroeville,AL,www.coastalalabama.edu,NULL,NULL,NULL
101958,Prince Institute-Southeast,Elmhurst,IL,princeinstitute.edu,NULL,NULL,NULL
101994,Reid State Technical College,Evergreen,AL,www.rstc.edu,NULL,NULL,NULL
102030,Bishop State Community College,Mobile,AL,www.bishop.edu,NULL,NULL,NULL
102049,Samford University,Birmingham,AL,www.samford.edu,570,559,555
102058,Selma University,Selma,AL,selmauniversity.edu,NULL,NULL,NULL
102067,Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu,NULL,NULL,NULL
102076,Snead State Community College,Boaz,AL,www.snead.edu,NULL,NULL,NULL
102094,University of South Alabama,Mobile,AL,www.southalabama.edu,515,510,500
